,ticker,name,website,headquarter,employees,industry,type,source
4059,EQTE,EQTEC PLC (EQTE),www.eqtec.com,"Building 1000 City Gate Mahon Cork, T12 W7CV Ireland",13,Machinery,ORD,investing
4060,ZIN,Zinc Media Group (ZIN),www.zincmedia.com,"17 Dominion Street 13th Floor Bressenden Place London, EC2M 2EF United Kingdom",168,Entertainment,ORD,investing
4061,BARV,Baronsmead Venture Trust PLC (BARV),www.baronsmeadvcts.co.uk/page/88/Baronsmead-Venture-Trust-formerly-Baronsmead-VCT-2-.htm,"80 Cheapside London, EC2V 6EE United Kingdom",-,Capital Markets,Closed-End,investing
4062,TSLT,Thinksmart Ltd (TSLT),www.thinksmartworld.com,"531 Hay Street Suite 5 Subiaco, 6008 Australia",-,Consumer Finance,ORD,investing
4063,SPRSP,Springfield Properties PLC (SPRSP),www.springfield.co.uk,"Alexander Fleming House 8 Southfield Drive Elgin, IV30 6GR United Kingdom",603,Household Durables,ORD,investing
4064,SDIS,SDI Group PLC (SDIS),www.thesdigroup.net,"Beacon House Nuffield Road Cambridge, CB4 1TF United Kingdom",300,"Electronic Equipment, Instruments & Components",ORD,investing
4065,OGN,Origin Enterprises Plc (OGN),www.originenterprises.com,"4-6 Riverwalk Citywest Business Campus Dublin, 24 Ireland",2641,Food Products,ORD,investing
4066,LGRS,Loungers PLC (LGRS),www.loungers.co.uk,"26 Baldwin Street Bristol, BS1 1SE United Kingdom",2273,"Hotels, Restaurants & Leisure",ORD,investing
4067,KIST,Kistos PLC (KIST),www.kistosplc.com,"107 Cheapside 9th Floor London, EC2V 6DN United Kingdom",-,"Oil, Gas & Consumable Fuels",ORD,investing
4068,CAMBA,Cambria Automobiles Plc (CAMBA),www.cambriaautomobilesplc.com,"Swindon Motor Park Dorcan Way Swindon, SN3 3RA United Kingdom",1014,Specialty Retail,ORD,investing
4069,AXL,Arrow Exploration Corp (AXL),www.arrowexploration.ca,"1430, 333 – 11th Avenue SW Suite 1430 Calgary, T2R 1L9 Canada",-,"Oil, Gas & Consumable Fuels",ORD,investing
4070,NBI,Northbridge Industrial Services (NBI),www.northbridgegroup.co.uk,"Second Avenue Centrum 100 Burton Upon Trent, DE14 2WF United Kingdom",179,Electrical Equipment,ORD,investing
4071,SDRY,Superdry PLC (SDRY),corporate.superdry.com,"The Runnings Unit 60 Cheltenham, GL51 9NW United Kingdom",3782,Specialty Retail,ORD,investing
4072,ZTF,Zotefoams PLC (ZTF),www.zotefoams.com,"675 Mitcham Road Croydon, CR9 3AL United Kingdom",551,Chemicals,ORD,investing
4073,TLY,Totally PLC (TLY),www.totallyplc.com,"Cardinal Square West 10 Nottingham Road Derby, DE1 3QT United Kingdom",1828,Health Care Providers & Services,ORD,investing
4074,GEECq,Great Eastern Energy Corporation Ltd DRC (GEECq),www.geecl.com,"Signature Towers - A 14th Floor South City NH-8 Gurugram, 122001 India",-,"Oil, Gas & Consumable Fuels",DRC,investing
4075,VIC,Victorian Plumbing Group PLC (VIC),www.victorianplumbingplc.com,"22 Grimrod Place Skelmersdale, WN8 9UU United Kingdom",534,Internet & Direct Marketing Retail,ORD,investing
4076,ARTL,Alpha Real Trust Ltd (ARTL),www.alpharealtrustlimited.com,"338 Euston Road London, NW1 3BG United Kingdom",100,Capital Markets,ORD,investing
4077,GYM,GYM Ltd (GYM),www.tggplc.com,"OneCroydon 5th Floor 12-16 Addiscombe Road Croydon, CR0 0XT United Kingdom",1336,"Hotels, Restaurants & Leisure",ORD,investing
4078,AUTGA,Autins Group PLC (AUTGA),www.autins.com,"Central Point One Central Park Drive Rugby, CV23 0WE United Kingdom",187,Auto Components,ORD,investing
4079,ANEA,Anglo-Eastern Plantations (ANEA),www.angloeastern.co.uk,"Quadrant House 6th Floor 4 Thomas More Square London, E1W 1YW United Kingdom",16553,Food Products,ORD,investing
4080,CMET,Capital Metals PLC (CMET),capitalmetals.com,"15 Ingestre Place Suite 1 London, W1F 0DU United Kingdom",13,Food Products,ORD,investing
4081,SERE,Schroder European Real Estate PLC (SERE),www.schroders.com,"1 London Wall Place London, EC2Y 5AU United Kingdom",1,Equity Real Estate Investment Trusts (REITs),ORD,investing
4082,TMTI,TMT Investments PLC (TMTI),www.tmtinvestments.com,"13 Castle Street Saint Helier, JE1 1ES Jersey",7,Capital Markets,ORD,investing
4083,BRMS,Braemar Shipping Services Plc (BRMS),www.braemar.com,"One Strand Trafalgar Square London, WC2N 5HR United Kingdom",540,Transportation Infrastructure,ORD,investing
4084,WIL,Wilmington PLC (WIL),wilmingtonplc.com,"10 Whitechapel High Street London, E1 8QS United Kingdom",835,Professional Services,ORD,investing
4085,RQE,ReNeuron Group PLC (RQE),www.reneuron.com,"Pencoed Business Park Pencoed, CF35 5HY United Kingdom",-,Biotechnology,ORD,investing
4086,PCF,PCF Group plc (PCF),pcf.bank/investors,"Pinners Hall 105-108 Old Broad Street London, EC2N 1ER United Kingdom",110,Consumer Finance,ORD,investing
4087,RHM,Round Hill Music Royalty Fund LP (RHM),www.roundhillmusicroyaltyfund.com,"Dorey Court Ground Floor Admiral Park Saint Peter Port, GY1 2HT Guernsey",-,Capital Markets,ORD,investing
4088,PGH,Personal Group Holdings PLC (PGH),www.personalgroup.com,"John Ormond House 899 Silbury Boulevard Central Milton Keynes Milton Keynes, MK9 3XL United Kingdom",224,Insurance,ORD,investing
4089,MBO,Mobilityone Ltd (MBO),www.mobilityone.com.my,"2-3, Incubator 2 Technology Park Malaysia Bukit Jalil Kuala Lumpur, 57000 Malaysia",120,Software,ORD,investing
4090,LAM,Lamprell Plc (LAM),www.lamprell.com,"Jebel Ali Free Zone Dubai, United Arab Emirates",5000,Energy Equipment & Services,ORD,investing
4091,APF,Anglo Pacific Group (APF),www.anglopacificgroup.com,"1 Savile Row London, W1S 3JR United Kingdom",9,Metals & Mining,ORD,investing
4092,OHG,One Heritage Group PLC (OHG),www.oneheritageplc.com,"80 Mosley Street Manchester, M2 3FX United Kingdom",20,Real Estate Management & Development,ORD,investing
4093,CINE,Cineworld Group (CINE),www.cineworldplc.com,"Vantage London 8th Floor Great West Road Brentford, TW8 9AG United Kingdom",30432,Entertainment,ORD,investing
4094,CGL,Castelnau Group Ltd (CGL),www.castelnaugroup.com,"Les Banques Trafalgar Court Les Banques PO Box 255 Saint Peter Port, GY1 3QL Guernsey",-,Capital Markets,ORD,investing
