,name,title,company_ticker,source
12556,Richard Wilson Jewson,Senior Independent Director,TMPL,investing
12557,Rosie Shapland,Independent Non-Executive Director,WKP,investing
12558,David W. Keens,Senior Independent Non-Executive Director,MOONM,investing
12559,Catherine Marcus,Director,SKAb,investing
12560,Adrianus Nuhn,Independent Chairman of Supervisory Board,TKWY,investing
12561,Alessandro E. Della Cha,CEO & Executive Director,COPN,investing
12562,David A. Fisher,Independent Member of Supervisory Board,TKWY,investing
12563,Wu Gang,Independent Non-Executive Director,IGG,investing
12564,Anders Rattgard,Employee Representative Deputy Director,SKAb,investing
12565,Corinne Vigreux,Vice-Chairman of Supervisory Board,TKWY,investing
12566,Thomas Lykke Henriksen,Head of HR Systems & Employee Representative Director,AMBUb,investing
12567,Ola Falt,Employee Representative Director,SKAb,investing
12568,Shefaly Yogendra,Director,TMPL,investing
12569,Christopher Francis Girling,Senior Independent Non-Executive Director,WKP,investing
12570,Gwyneth Victoria Burr,Independent Member of Supervisory Board,TKWY,investing
12571,William J. Sandborn,Member of Scientific Advisory Board,COPN,investing
12572,Yvonne Stenman,Employee Representative Director,SKAb,investing
12573,Kate E. Swann,Independent Non-Executive Chairman of the Board,MOONM,investing
12574,Jonathan Mark Noble,COO & Executive Director,IGG,investing
12575,Jan Gurander,Independent Director,SKAb,investing
12576,Ronald Teerlink,Independent Member of Supervisory Board,TKWY,investing
12577,Jakob Koch,Director of IP & Employee Representative Director,AMBUb,investing
12578,Dieter Amin Enkelmann,Non-Executive Director,COPN,investing
12579,Asa Soderstrom Winberg,Independent Director,SKAb,investing
12580,Lesley-Ann Nash,Independent Non-Executive Director,WKP,investing
12581,Susan Hooper,Independent Non-Executive Director,MOONM,investing
12582,Robert Michael McTighe,Independent Non-Executive Chairman of the Board,IGG,investing
12583,Hans Reinholdsson,Employee Representative Deputy Director,SKAb,investing
12584,Britt Meelby Jensen,Director,AMBUb,investing
12585,Kurt Jofs,Independent Director,VOLVb,investing
12586,Geert D’Haens,Member of Scientific Advisory Board,COPN,investing
12587,Jambu Palaniappan,Independent Member of Supervisory Board,TKWY,investing
12588,Camilla Johansson,Employee Representative Deputy Director,VOLVb,investing
12589,Simon Russell Davidson,Non-Executive Director,MOONM,investing
12590,Charles Arthur Rozes,CFO & Executive Director,IGG,investing
12591,Mari Larsson,Employee Representative Deputy Director,VOLVb,investing
12592,Eckhard Cordes,Independent Director,VOLVb,investing
12593,Mauro Severino Ajani,Founder & Executive Chairman,COPN,investing
12594,Helena Stjernholm,Director,VOLVb,investing
12595,Jakob Bønnelykke Kristensen,"Senior Director of Anaesthesia, Patient Monitoring and Global Innovation & Employee Rep. Director",AMBUb,investing
12596,Eric A. Elzvik,Independent Director,VOLVb,investing
12597,Martha Finn Brooks,Director,VOLVb,investing
12598,Martina Merz,Independent Director,VOLVb,investing
12599,Malcolm John Le May,Independent Non-Executive Director,IGG,investing
12600,Nickyl Raithatha,CEO & Director,MOONM,investing
12601,Carl-Henric Svanberg,Independent Chairman,VOLVb,investing
12602,Ralf Kiesslich,Member of Scientific Advisory Board,COPN,investing
12603,Christian Sagild,Independent Vice-Chairman of the Board,AMBUb,investing
12604,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director",VOLVb,investing
12605,Andy MacKinnon,CFO & Director,MOONM,investing
12606,Helen Claire Stevenson,Independent Non-Executive Director,IGG,investing
12607,Mats Henning,Employee Representative Director,VOLVb,investing
12608,Paul L. Vikner,Vice Chairman - Mack Trucks Inc,VOLVb,investing
12609,Silvio Danese,Member of Scientific Advisory Board,COPN,investing
12610,Hanne de Mora,Independent Director,VOLVb,investing
12611,Mikael Sallstrom,Employee Representative Director,VOLVb,investing
12612,Matti Alahuhta,Independent Director,VOLVb,investing
12613,Andrew Didham,Independent Non-Executive Director,IGG,investing
12614,Alessandro Repici,Member of Scientific Advisory Board,COPN,investing
12615,Lars Ask,Employee Representative Director,VOLVb,investing
12616,Joanne Harris,Independent Non-Executive Director,ASCL,investing
12617,Kathryn Vanstrom Marinello,Independent Director,VOLVb,investing
12618,Kevin Donovan,Non-Executive Director,COPN,investing
12619,Charles Song,Independent Non-Executive Director,ASCL,investing
12620,Simon P. L. Travis,Member of Scientific Advisory Board,COPN,investing
12621,Robert Steffen,Member of Scientific Advisory Board,COPN,investing
12622,Philip Thomas,President of Marketing Division & Chairman of Cannes Lions,ASCL,investing
12623,Michael Wallace,Member of Scientific Advisory Board,COPN,investing
12624,Grace Kay Priestly,Independent Non-Executive Director,FTI,investing
12625,David William Maris,Non-Executive Director,COPN,investing
12626,Michael E. Kassan,"President of Marketing, Chairman & CEO of MediaLink",ASCL,investing
12627,Alexis de Rosnay,Non-Executive Director,COPN,investing
12628,Claire Scobee Farley,Lead Independent Director,FTI,investing
12629,Robert Peugeot,Director,EPED,investing
12630,Suzanne Claire Baxter,Independent Non-Executive Director,ASCL,investing
12631,Simon Patrick Duffy,Independent Non-Executive Chairman,MTGBs,investing
12632,Gerhard Florin,Independent Non-Executive Director,MTGBs,investing
12633,Christopher P. Carvalho,Independent Non-Executive Director,MTGBs,investing
12634,Martina Klingvall Holmström,Director,ABGA,investing
12635,John C. G. O'Leary,Independent Non-Executive Director,FTI,investing
12636,Dawn E. Hudson,Independent Non-Executive Director,MTGBs,investing
12637,M. Moshiashvili,Director,SBNCyq,investing
12638,Marjorie Lao,Independent Non-Executive Director,MTGBs,investing
12639,Y. Tenizbayev,Director,SBNCyq,investing
12640,Natalie Tydeman,Independent Non-Executive Director,MTGBs,investing
12641,Daniel Bernardino,Employee Representative Director,EPED,investing
12642,Scott E. Forbes,Independent & Non-Executive Chairman of the Board,ASCL,investing
12643,Nikolay Kudryavtsev,Independent Supervisory Board Member,SBNCyq,investing
12644,Lim Kin Leung,Independent Non-Executive Director,MTGBs,investing
12645,Timur Olegovich Kozintsev,Director,SBNCyq,investing
12646,Arild Abel Engh,Director,ABGA,investing
12647,Mikhail Valentinovich Kovalchuk,Independent Member of Supervisory Board,SBNCyq,investing
12648,John Yearwood,Independent Non-Executive Director,FTI,investing
12649,Gennady Georgievich Melikyan,Senior Independent Supervisory Board Member,SBNCyq,investing
12650,Jean-Bernard Levy,Independent Director,EPED,investing
12651,Olufunke Ighodaro,Independent Non-Executive Director,ASCL,investing
12652,Maksim Stanislavovich Oreshkin,Supervisory Board Member,SBNCyq,investing
12653,Jan Petter Collier,Deputy Chairman,ABGA,investing
12654,Sergey Mikhailovich Ignatiev,Deputy Chairman of the Supervisory Board.,SBNCyq,investing
12655,Eleazar de Carvalho Filho,Independent Non-Executive Director,FTI,investing
12656,Esko Tapani Aho,Independent Supervisory Board Member,SBNCyq,investing
12657,Yann Delabrière,Honorary Chairman,EPED,investing
12658,Judy Vezmar,Independent Non-Executive Director,ASCL,investing
12659,S. Akhanov,Independent Director,SBNCyq,investing
12660,Adele Norman Pran Bugge,Co-Chairman of the Board,ABGA,investing
12661,Dmitry N. Chernyshenko,Deputy Chairman of the Supervisory Board,SBNCyq,investing
12662,Nadya Christina Wells,Independent Supervisory Board Member,SBNCyq,investing
12663,Sophie Zurquiyah-Rousset,Independent Director,FTI,investing
12664,Patrick Koller,CEO & Director,EPED,investing
12665,A. Andreev,Director,SBNCyq,investing
12666,Duncan Anthony Painter,CEO & Director,ASCL,investing
12667,Knut Brundtland,Executive Co-Chairman,ABGA,investing
12668,Pavel Sergeyevich Barchugov,Director,SBNCyq,investing
12669,Herman Oskarovich Gref,"Chairman of the Executive Board, CEO & Member of Supervisory Board",SBNCyq,investing
12670,Peter Mellbye,Independent Non-Executive Director,FTI,investing
12671,Penelope A. Herscher,Independent Director,EPED,investing
12672,Vladimir V. Kolychev,Member of the Supervisory Board,SBNCyq,investing
12673,Gillian D. C. Kent,Independent Non-Executive Director,ASCL,investing
12674,Aleksander Petrovich Kuleshov,Independent Supervisory Board Member,SBNCyq,investing
12675,Margareth Ovrum,Independent Director,FTI,investing
12676,A. Yelemessov,Independent Director,SBNCyq,investing
12677,Michel de Rosen,Independent Chairman,EPED,investing
12678,Amanda Jane Gradden,CFO & Director,ASCL,investing
12679,Natalie Alexandra Braginsky Mounier,Independent Member of the Supervisory Board,SBNCyq,investing
12680,Olcay Zeybek,Head of Accounting & Employee Representative Member of Supervisory Board,ZILGn,investing
12681,Douglas J. Pferdehirt,CEO & Executive Chairman,FTI,investing
12682,Anton Germanovich Siluanov,Chairman of the Supervisory Board,SBNCyq,investing
12683,Stian Sjolund,Director,AKAST,investing
12684,Rita A. Clifton,Senior Independent Non-Executive Director,ASCL,investing
12685,Peter Mertens,Independent Director,EPED,investing
12686,Gabriel Eichler,Independent Chairman of the Supervisory Board,MONET,investing
12687,Natalia Nikolaevna Avdeenko,Director,SBNCyq,investing
12688,Manfred Strauß,MD & Member of the Supervisory Board,ZILGn,investing
12689,Bella Ilinichna Zlatkis,Deputy Chairman of Executive Board & Supervisory Board Member,SBNCyq,investing
12690,Kathryn Moore Baker,Director,AKAST,investing
12691,Denis Mercier,Independent Director,EPED,investing
12692,Paul Scott Harrison,COO & Executive Director,ASCL,investing
12693,Miroslav Singer,Vice-Chairman of the Supervisory Board,MONET,investing
12694,Svein Oskar Stoknes,Director,AKAST,investing
12695,Markus Siegers,Employee Representative Deputy Chairman of the Supervisory Board,ZILGn,investing
12696,Valerie Landon,Independent Director,EPED,investing
12697,Luc Vandecatseye,Non-Executive Director of Almancora Société De Gestion SA,KBCA,investing
12698,Talmai Phillip Morgan,Non-Executive Director,BHMGu,investing
12699,Zuzana Filipova,Director of Communication & CSR and Employee Representative Member of the Supervisory Board,MONET,investing
12700,Luis Antonio Gomes Araujo,Director,AKAST,investing
12701,Odile Desforges,Independent Director,EPED,investing
12702,Liesbet Okkerse,Non-Executive Director of Almancora Societe De Gestion SA,KBCA,investing
12703,Anthony Hall,Non Executive Director,BHMGu,investing
12704,Michal Petrman,Independent Member of the Supervisory Board,MONET,investing
12705,Gabriele Sons,Member of Supervisory Board,ZILGn,investing
12706,Asle Christian Halvorsen,Director,AKAST,investing
12707,Emmanuel Pioche,Employee Representative Director,EPED,investing
12708,Henri Vandermeulen,Non-Executive Director of Almancora Société De Gestion SA,KBCA,investing
12709,Christopher F. L. Legge,Senior Independent Director,BHMGu,investing
12710,Tomáš Pardubický,Member of the Supervisory Board,MONET,investing
12711,Dong-Jin Koh,"President, CEO, Head of IT & Mobile Communications and Executive Director",0593q,investing
12712,Henning Jensen,Director,AKAST,investing
12713,Klaus Eberhardt,Chairman of the Supervisory Board,ZILGn,investing
12714,Yoon-Ho Choi,"President, CFO & Executive Director",0593q,investing
12715,Yan Mei,Independent Director,EPED,investing
12716,Gee Chan Won,"Chief Executive Officer of Samsung Card, President of Samsung Card and Director of Samsung Card",0593q,investing
12717,Ji-Sung Choi,Vice Chairman of Samsung Group and Head of the Future Strategy Office - Samsung Group,0593q,investing
12718,Christiane Steegmans,Independent Director of Almancora Société De Gestion SA,KBCA,investing
12719,Huw Griffith Evans,Additional Independent Non-Executive Director,BHMGu,investing
12720,Jong-Hee Han,President and Head of Visual Display Business & Executive Director,0593q,investing
12721,Klara Escobar,Director of Human Resources & Employee Representative Member of the Supervisory Board,MONET,investing
12722,Lone Fonss Schroder,Deputy Chairman,AKAST,investing
12723,Hyun-Suk Kim,"President, CEO, Head of Consumer Electronics & Executive Director",0593q,investing
12724,Jae-Wan Bahk,Independent Chairman of the Board,0593q,investing
12725,Andreas Wilhelm Kraut,Member of Supervisory Board,ZILGn,investing
12726,Sun-Uk Kim,Independent Director,0593q,investing
12727,Joseph Peeters,Non-Executive Director of Almancora Societe De Gestion SA,KBCA,investing
12728,Claire E. A. Whittet,Director,BHMGu,investing
12729,Ki-Nam Kim,"Vice Chairman, CEO & Head of Device Solutions",0593q,investing
12730,Denis Arthur Hall,Independent Member of the Supervisory Board,MONET,investing
12731,Claes Magnus Akesson,Independent Director,CONIC,investing
12732,Kristian Monsen Rokke,Chairman of the Board,AKAST,investing
12733,Susanna Schneeberger,Independent Director,CONIC,investing
12734,Byung-Gook Park,Independent Director,0593q,investing
12735,Karin Gunnarsson,Independent Director,CONIC,investing
12736,Soo-Bin Lee,Chairman of Samsung Life Insurance,0593q,investing
12737,Petra Sundstrom,Director,CONIC,investing
12738,Marc De Ceuster,Independent Director of Almancora Societe De Gestion SA,KBCA,investing
12739,Jeong-Hun Kim,Independent Director,0593q,investing
12740,Martin Sköld,Independent Director,CONIC,investing
12741,Nanna Tollefsen,Deputy Director,AKAST,investing
12742,Ian Plenderleith,Chairman,BHMGu,investing
12743,Curie Ahn,Independent Director,0593q,investing
12744,Clare Ronald Clarke,Member of the Supervisory Board,MONET,investing
12745,Gerald Müller,Employee Representative Member of Supervisory Board,ZILGn,investing
12746,Joachim Rosenberg,Director,CONIC,investing
12747,Cara Ryan,Independent Non-Executive Director,GLV,investing
12748,Han-Jo Kim,Independent Director,0593q,investing
12749,Anders Nielsen,Independent Chairman of the Board,CONIC,investing
12750,Rita Van Kerckhoven,Independent Director of Almancora Societe De Gestion SA,KBCA,investing
12751,Patrick A. McCann,Independent Non-Executive Director,GLV,investing
12752,Jana Vybostokova,Employee Representative Member of the Supervisory Board,MONET,investing
12753,John Le Poidevin,Board Member,BHMGu,investing
12754,Paula Maria de Castro Monteiro-Munz,Employee Representative Member of the Supervisory Board,ZILGn,investing
12755,Herman Vandaele,Independent Chairman of Almancora Societe De Gestion SA,KBCA,investing
12756,John F. Mulcahy,Co-Founder & Executive Chairman,GLV,investing
12757,Bronwyn Nanette Curtis,Independent Director,BHMGu,investing
12758,Rita Forst,Member of Supervisory Board,ZILGn,investing
12759,Camilla Hughes,Independent Non-Executive Director,GLV,investing
12760,Franky Cera Depickere,MD & Executive Director of Almancora Société De Gestion SA,KBCA,investing
12761,Michael Rice,CFO & Executive Director,GLV,investing
12762,Bernd Weckenmann,Member of the Supervisory Board,ZILGn,investing
12763,Johan Massy,Vice Chairman of Almancora Société De Gestion SA,KBCA,investing
12764,Richard S. Cherry,Independent Non-Executive Director,GLV,investing
12765,Helmut P. Merch,Member of Supervisory Board,ZILGn,investing
12766,Katelijn Callewaert,MD & Director of Almancora Societe De Gestion SA,KBCA,investing
12767,Robert Dix,Senior Independent Non-Executive Director,GLV,investing
12768,Clara M. S. Smits-Nusteling,Independent Chairman,TEL2b,investing
12769,Alexandra Dürr,Member of Supervisory Board,DUEG,investing
12770,Stina Honkamaa Bergfors,Independent Director,TEL2b,investing
12771,Sam Kini,Independent Director,TEL2b,investing
12772,Richard Laing,Independent Non-Executive Director of Tritax Management LLP,BBOXT,investing
12773,Lars-Ake Valdemar Norling,Independent Board Member,TEL2b,investing
12774,Stephen Garvey,"Co-Founder, CEO & Executive Director",GLV,investing
12775,Andrew M. Barron,Independent Deputy Chairman,TEL2b,investing
12776,Georgi Ganev,Director,TEL2b,investing
12777,Eva Lindqvist,Independent Director,TEL2b,investing
12778,Barbara Resch,Employee Representative Member of Supervisory Board,ZILGn,investing
12779,Anja Schuler,Independent Member of Supervisory Board,DUEG,investing
12780,Alastair Hughes,Senior Independent Director of Tritax Management LLP,BBOXT,investing
12781,Carmen Hettich-Gunther,Employees Representative Member of Supervisory Board,DUEG,investing
12782,Susanne Given,Independent Non-Executive Director of Tritax Management LLP,BBOXT,investing
12783,Aubrey John Adams,Independent Chairman of the Board of Tritax Management LLP,BBOXT,investing
12784,Martin Schwarz-Kocher,Employee Representative Member of Supervisory Board,DUEG,investing
12785,Hayo Raich,Deputy Chairman of the Supervisory Board and Full-time Chairman of the Works Council,DUEG,investing
12786,Karen Tracy Whitworth,Independent Non-Executive Director of Tritax Management LLP,BBOXT,investing
12787,Waageingri Geitrheim Waage,Member of Supervisory Board,SVEG,investing
12788,Stacey Lee Cartwright,Senior Independent Non-Executive Director,SVS,investing
12789,Terje Vidar Vestvik,Member of Supervisory Board,SVEG,investing
12790,Dong-Jin Koh,"President, CEO, Head of IT & Mobile Communications and Executive Director",0593xq,investing
12791,Heinz Dürr,Honorary Chairman of the Supervisory Board,DUEG,investing
12792,Wu Gang,Non-Executive Director,BBOXT,investing
12793,Einar Vatne,Member of Supervisory Board,SVEG,investing
12794,Yoon-Ho Choi,"President, CFO & Executive Director",0593xq,investing
12795,Jostein Valen,Member of Supervisory Board,SVEG,investing
12796,Gee Chan Won,"Chief Executive Officer of Samsung Card, President of Samsung Card and Director of Samsung Card",0593xq,investing
12797,Helge Stormoen,Member of Supervisory Board,SVEG,investing
12798,Ji-Sung Choi,Vice Chairman of Samsung Group and Head of the Future Strategy Office - Samsung Group,0593xq,investing
12799,Simon James Blouet Shaw,"Group CFO, Member of Group Executive Board & Executive Director",SVS,investing
12800,Linda Knarvik Nordeide,Member of Supervisory Board,SVEG,investing
12801,Jong-Hee Han,President and Head of Visual Display Business & Executive Director,0593xq,investing
12802,Thomas Hohmann,Employees Representative Member of Supervisory Board,DUEG,investing
12803,Trond Paradis Mohn,Member of Supervisory Board,SVEG,investing
12804,Hyun-Suk Kim,"President, CEO, Head of Consumer Electronics & Executive Director",0593xq,investing
12805,Tor Johannessen,Member of Supervisory Board,SVEG,investing
12806,Jae-Wan Bahk,Independent Chairman of the Board,0593xq,investing
12807,Jan S. Johannessen,Member of Supervisory Board,SVEG,investing
12808,Richard Orders,Independent Non-Executive Director,SVS,investing
12809,Sun-Uk Kim,Independent Director,0593xq,investing
12810,Rolf Waldemar Karlsen,Member of Supervisory Board,SVEG,investing
12811,Richard Bauer,Independent Deputy Chairman of Supervisory Board,DUEG,investing
12812,Ki-Nam Kim,"Vice Chairman, CEO & Head of Device Solutions",0593xq,investing
12813,Kirsten Gulbrandsen,Member of Supervisory Board,SVEG,investing
12814,Inger Finne,Member of Supervisory Board,SVEG,investing
12815,Byung-Gook Park,Independent Director,0593xq,investing
12816,Soo-Bin Lee,Chairman of Samsung Life Insurance,0593xq,investing
12817,Liv Erstad,Member of Supervisory Board,SVEG,investing
12818,George W. Buckley,Independent Chairman of the Board,SMIN,investing
12819,Nicholas Ferguson,Chairman of the Board,SVS,investing
12820,Jeong-Hun Kim,Independent Director,0593xq,investing
12821,Arne Buanes,Member of Supervisory Board,SVEG,investing
12822,Astrid Ziegler,Employee Representative Member of Supervisory Board,DUEG,investing
12823,Curie Ahn,Independent Director,0593xq,investing
12824,Magnhild Bjørlo,Member of Supervisory Board,SVEG,investing
12825,Han-Jo Kim,Independent Director,0593xq,investing
12826,Mark Ridley,"Group CEO, Member of the Executive Board & Director",SVS,investing
12827,Mark Donald Seligman,Independent Non-Executive Director,SMIN,investing
12828,Siri Birkeland,Member of Supervisory Board,SVEG,investing
12829,Arnd Zinnhardt,Independent Supervisory Board Member,DUEG,investing
12830,Widar Slemdal Andersen,Member of Supervisory Board,SVEG,investing
12831,Anne Grethe Ådland,Member of Supervisory Board,SVEG,investing
12832,Arvid Stenehjem,Member of Supervisory Board,SVEG,investing
12833,Timothy George Freshwater,Independent Non-Executive Director,SVS,investing
12834,Noel Naval Tata,Independent Non-Executive Director,SMIN,investing
12835,Eivind Lunde,Member of Supervisory Board,SVEG,investing
12836,Gerhard Federer,Independent Chairman of the Supervisory Board,DUEG,investing
12837,Timothy Charles Jones,CFO & Director,MAB,investing
12838,Anne Marit Steen,Member of Supervisory Board,SVEG,investing
12839,Pauline Francoise Marie van der Meer Mohr,Independent Non-Executive Director,HSBA,investing
12840,Dana Roffman,Independent Non-Executive Director,SVS,investing
12841,Tanya D. Fratto,Independent Non-Executive Director,SMIN,investing
12842,Kenneth Lever,Independent Non-Executive Director,PRSMB,investing
12843,Rolf Breidenbach,Independent Member of Supervisory Board,DUEG,investing
12844,David Thomas Nish,Senior Independent Non-Executive Director,HSBA,investing
12845,Birgit Nistad,Member of Supervisory Board,SVEG,investing
12846,Francis Paul Mer,Honorary Chairman,SAF,investing
12847,Robert Ivell,Non-Executive Chairman,MAB,investing
12848,Florence Tondu-Melique,Independent Non-Executive Director,SVS,investing
12849,Mark Edward Tucker,Non-Executive Group Chairman of the Board,HSBA,investing
12850,Leif Holst,Member of Supervisory Board,SVEG,investing
12851,David Moss,Co-Founder & Advisor,PRSMB,investing
12852,Jackson Peter Tai,Independent Non-Executive Director,HSBA,investing
12853,Ove Ellingsen,Member of Supervisory Board,SVEG,investing
12854,William C. Seeger,Senior Independent Director,SMIN,investing
12855,Jose Antonio-Meade Kuribrena,Independent Non-Executive Director,HSBA,investing
12856,Mirko Becker,Employee Representative Member of Supervisory Board,DUEG,investing
12857,Anne Karin Bjørkelo,Member of Supervisory Board,SVEG,investing
12858,Nicoletta Giadrossi-Morel,Independent Non-Executive Chairwoman,CNE,investing
12859,Steven Craig Guggenheimer,Independent Non-Executive Director,HSBA,investing
12860,Monique Cohen,Lead Independent Director,SAF,investing
12861,Yun-Lien Lee,Independent Non-Executive Director,HSBA,investing
12862,Karen Dahle,Member of Supervisory Board,SVEG,investing
12863,Philip Urban,CEO & Director,MAB,investing
12864,Steven T. Kirsch,Member of Technology Advisory Board,HSBA,investing
12865,Philip Lee,Independent Non-Executive Director,SVS,investing
12866,Ingolf Arne Marifjæren,Member of Supervisory Board,SVEG,investing
12867,Alastair Douglas Bathgate,Co-Founder & Advisor,PRSMB,investing
12868,Erik B. Daugbjerg,Independent Non-Executive Director,CNE,investing
12869,Ottar Arve Sætre,Member of Supervisory Board,SVEG,investing
12870,Vladimir Petrovich Evtushenkov,Founder & Non-Executive Chairman,SSAq,investing
12871,Torill Kvamme,Member of Supervisory Board,SVEG,investing
12872,Dame Ann Dowling,Independent Non-Executive Director,SMIN,investing
12873,Megan Quinn Siegler,Member of Technology Advisory Board,HSBA,investing
12874,Margreta Navelsaker,Member of Supervisory Board,SVEG,investing
12875,Vishal Sikka,Member of Technology Advisory Board,HSBA,investing
12876,Mette Holmefjord Olsen,Member of Supervisory Board,SVEG,investing
12877,Jean-Lou Chameau,Independent Director,SAF,investing
12878,Michael Boodaei,Member of Technology Advisory Board,HSBA,investing
12879,Josh Levy,Non-Executive Director,MAB,investing
12880,Claudio Boada Pallerés,Member of Advisory Board,HSBA,investing
12881,Gro Iren Bolstad Berge,Member of Supervisory Board,SVEG,investing
12882,Catherine Lee Krajicek,Independent Non-Executive Director,CNE,investing
12883,Bodil Digranes,Member of Supervisory Board,SVEG,investing
12884,Noel P. Quinn,"Group CEO, Member of the Group Management Board & Executive Director",HSBA,investing
12885,Murray Dean Rode,Independent Non-Executive Director,PRSMB,investing
12886,Paul S. Bal,CFO & Director,STCK,investing
12887,Roger Llewelyn Munnings,Independent Director,SSAq,investing
12888,Pam P. Cheng,Independent Non Executive Director,SMIN,investing
12889,Eileen Katherine Murray,Independent Non-Executive Director,HSBA,investing
12890,Morten Monsen,Member of Supervisory Board,SVEG,investing
12891,Stuart Alan Ransom Rose,Member of European Advisory Council of Investment Banking Operations,HSBA,investing
12892,Jan S. Aske,Member of Supervisory Board,SVEG,investing
12893,Peter Kallos,Independent Non-Executive Director,CNE,investing
12894,Kira Radinsky,Member of Technology Advisory Board,HSBA,investing
12895,Edward Irwin,Non-Executive Director,MAB,investing
12896,Gérard Le Page,Chairman of Teuchos and Chief Executive Officer of Teuchos,SAF,investing
12897,Johnny Iden,Member of Supervisory Board,SVEG,investing
12898,James Anthony Forese,Independent Non-Executive Director,HSBA,investing
12899,Lisbeth Ormevik,Member of Supervisory Board,SVEG,investing
12900,Haoyu Shen,Member of Technology Advisory Board,HSBA,investing
12901,Sohaib Abbasi,Chairman of Global Strategic Technology Advisory Panel,PRSMB,investing
12902,Gurjeet Singh,Member of Technology Advisory Board,HSBA,investing
12903,Karianne Mjos-Haugland,Member of Supervisory Board,SVEG,investing
12904,Mikhail Valeryevich Shamolin,Non-Executive Director,SSAq,investing
12905,Karin Hoeing,Independent Non-Executive Director,SMIN,investing
12906,Christian A. Larsen,Member of Technology Advisory Board,HSBA,investing
12907,Lena Jordalen,Member of Supervisory Board,SVEG,investing
12908,Diego Bevilacqua,Independent Non-Executive Director,STCK,investing
12909,Mariann Ringen,Member of Supervisory Board,SVEG,investing
12910,Simon John Thomson,CEO & Executive Director,CNE,investing
12911,Ewen James Stevenson,"Group CFO, Member of the Group Management Board & Executive Director",HSBA,investing
12912,Knut Førland,Member of Supervisory Board,SVEG,investing
12913,Vincent Imbert,Director,SAF,investing
12914,Keith Browne,Non-Executive Director,MAB,investing
12915,Carolyn Julie Fairbairn,Independent Non-Executive Director,HSBA,investing
12916,Ragnhild Langøy,Member of Supervisory Board,SVEG,investing
12917,Maurizio Carli,Independent Non-Executive Director,PRSMB,investing
12918,Rachel Duan,Independent Non-Executive Director,HSBA,investing
12919,Rune J. Pedersen,Member of Supervisory Board,SVEG,investing
12920,John F. Shipsey,CFO & Director,SMIN,investing
12921,W. L. L. Alison J. Wood,Independent Non Executive Director,CNE,investing
12922,Ron Sommer,Non-Executive Director,SSAq,investing
12923,Anne-Marit Hope,Employee Representative Board Member,SVEG,investing
12924,Sophie Zurquiyah-Rousset,Independent Director,SAF,investing
12925,Susan E. Murray,Senior Independent Director,MAB,investing
12926,Rachel Margaret Elisabeth Mooney,Independent Non-Executive Director,PRSMB,investing
12927,Tomasz Blawat,Independent Non-Executive Director,STCK,investing
12928,Kristin Royrbotten Axelsen,Employee Representative Board Member,SVEG,investing
12929,James Donald Smith,CFO & Executive Director,CNE,investing
12930,Paul A. Keel,CEO & Executive Director,SMIN,investing
12931,Bjørn Berland,Member of Supervisory Board,SVEG,investing
12932,Anatoly Borisovich Chubais,Independent Director,SSAq,investing
12933,Patrick Pelata,Independent Director,SAF,investing
12934,Ingrid Tjorhom,Member of Corporate Board,SVEG,investing
12935,Jan Øvrebø,Member of Supervisory Board,SVEG,investing
12936,David C. Coplin,Independent Non-Executive Director,MAB,investing
12937,Jim Hagemann Snabe,Member of Global Strategic Technology Advisory Panel,PRSMB,investing
12938,Keith Geddes Lough,Independent Non-Executive Director,CNE,investing
12939,Arild Bødal,Independent Chairman of the Board,SVEG,investing
12940,Michael Guy Butterworth,Independent Non-Executive Director,STCK,investing
12941,Wenche Wolff Anglevik,Member of Supervisory Board,SVEG,investing
12942,Vladimir Sanasarovich Chirakhov,"President, CEO, Chairman of the Management Board & Director",SSAq,investing
12943,Helene Auriol-Potier,Independent Director,SAF,investing
12944,Solfrid Hagen,Member of Supervisory Board,SVEG,investing
12945,Jane Moriarty,Independent Non-Executive Director,MAB,investing
12946,Jon Askeland,Member of Supervisory Board,SVEG,investing
12947,Birthe Kåfjord Lange,Independent Director,SVEG,investing
12948,Ijoma Maluza,CFO & Director,PRSMB,investing
12949,Bernt Bergheim,Deputy Director,SVEG,investing
12950,Borghild Storaas Ones,Chair of Supervisory Board,SVEG,investing
12951,Alexander Shokhin,Independent Director,SSAq,investing
12952,Inger Johanne Westad Thraning,Deputy Director,SVEG,investing
12953,John Ross Nicolson,Senior Independent Non-Executive Director,STCK,investing
12954,Didier Domange,Director,SAF,investing
12955,Jostein Lid,Member of Supervisory Board,SVEG,investing
12956,Svein Ove Lid,Member of Supervisory Board,SVEG,investing
12957,Christopher Michael Batterham,Non-Executive Deputy Chairman & Senior Independent Non-Executive Director,PRSMB,investing
12958,Kjell Gunnar Lilleøren,Member of Supervisory Board,SVEG,investing
12959,Jens Petter Helland,Member of Supervisory Board,SVEG,investing
12960,David Iakobachvili,Independent Director,SSAq,investing
12961,Helene Dantoine,Director,SAF,investing
12962,Miroslaw Boguslaw Stachowicz,CEO & Executive Director,STCK,investing
12963,Unni Grete Brakedal Våge,Member of Supervisory Board,SVEG,investing
12964,Eirik A. Hjelle,Member of Supervisory Board,SVEG,investing
12965,Conrad Jason Kingdon,Executive Chairman & CEO,PRSMB,investing
12966,Gunnar Skeie,Independent Director,SVEG,investing
12967,Jan Kalina,Director,CEZ,investing
